env,type,n,msecs,kbytes
chrome,arcs,100,209,1177.888
chrome,arcs,100,148,1177.888
chrome,arcs,100,191,1177.888
chrome,arcs,100,103,1177.888
chrome,arcs,100,189,1177.888
chrome,arcs,100,146,1177.888
chrome,arcs,100,113,1177.888
chrome,arcs,100,120,1177.888
chrome,arcs,100,164,1177.888
chrome,arcs,100,149,1177.888
chrome,arcs,500,209,1550.26
chrome,arcs,500,175,1550.26
chrome,arcs,500,248,1550.26
chrome,arcs,500,198,1550.26
chrome,arcs,500,171,1550.26
chrome,arcs,500,130,1550.26
chrome,arcs,500,190,1550.26
chrome,arcs,500,88,1550.26
chrome,arcs,500,147,1550.26
chrome,arcs,500,164,1550.26
chrome,arcs,1000,214,1421.567
chrome,arcs,1000,282,1421.567
chrome,arcs,1000,275,1421.567
chrome,arcs,1000,268,1421.567
chrome,arcs,1000,258,1421.567
chrome,arcs,1000,222,1421.567
chrome,arcs,1000,203,1421.567
chrome,arcs,1000,214,1421.567
chrome,arcs,1000,194,1421.567
chrome,arcs,1000,186,1421.567
chrome,arcs,5000,493,3726.267
chrome,arcs,5000,584,3726.267
chrome,arcs,5000,624,3726.267
chrome,arcs,5000,644,3726.267
chrome,arcs,5000,614,3726.267
chrome,arcs,5000,642,3726.267
chrome,arcs,5000,536,3726.267
chrome,arcs,5000,548,3726.267
chrome,arcs,5000,656,3726.267
chrome,arcs,5000,957,3726.267
chrome,arcs,10000,681,5288.788
chrome,arcs,10000,1344,5288.788
chrome,arcs,10000,1252,5288.788
chrome,arcs,10000,1120,5288.788
chrome,arcs,10000,1222,5288.788
chrome,arcs,10000,1289,5288.788
chrome,arcs,10000,1355,5288.788
chrome,arcs,10000,1218,5288.788
chrome,arcs,10000,1048,5288.788
chrome,arcs,10000,1083,5288.788
chrome,arcs,50000,2744,7130.825
chrome,arcs,50000,6223,7130.825
chrome,arcs,50000,5244,7130.825
chrome,arcs,50000,5160,7130.825
chrome,arcs,50000,4964,7130.825
chrome,arcs,50000,4617,7130.825
chrome,arcs,50000,3759,7130.825
chrome,arcs,50000,4471,7130.825
chrome,arcs,50000,4879,7130.825
chrome,arcs,50000,3967,7130.825
chrome,arcs,100000,5226,12725.272
chrome,arcs,100000,9717,12725.272
chrome,arcs,100000,9326,12725.272
chrome,arcs,100000,7062,12725.272
